greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast,Temperature,Dew Point,Humidity,Wind Speed,Pressure
3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,72.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,3.4089937910125205,1,1,0,77.73964589963654,27.77777777777778,21.11111111111111,66,3,29.88
4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,54.0,42.0,1.0,1.0,0.0,0.0,1.0,0.0,2.3965662184675907,11,8,3,62.57808661852263,32.77777777777778,17.22222222222222,38,6,29.79
4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2254656657939043,13,9,0,73.8316904515778,27.77777777777778,21.11111111111111,66,3,29.85
4.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,5.225498068981291,2,2,0,72.29090626056635,30.0,17.77777777777778,48,6,29.85
4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,86.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,1.7942608634518116,12,9,1,73.34285535502191,27.22222222222222,22.22222222222222,74,2,29.85
3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,47.0,41.0,1.0,1.0,0.0,0.0,1.0,0.0,4.4542912010336035,8,7,1,71.81900861383431,32.77777777777778,17.22222222222222,38,6,29.79
2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,85.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.190769802088732,4,5,2,79.60091981464646,27.77777777777778,21.11111111111111,66,2,29.85
3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,42.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,6,6,3,65.17787263054497,31.11111111111111,17.22222222222222,43,13,29.73
4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,65.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,4.8259398802743165,11,8,1,76.48173260731609,32.77777777777778,17.77777777777778,41,8,29.82
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,74.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,4.855726443370384,4,5,0,66.33399244670832,28.88888888888889,20.0,58,2,29.88
