timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2020-03-05 17:15:49,93,32,0,0.0,1.0,0.0,0.0,1.0,5.156248182736048,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:16:03,92,32,0,0.0,1.0,0.0,0.0,1.0,5.178147148037934,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:16:33,93,32,0,0.0,1.0,0.0,0.0,1.0,5.179465485381104,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:17:15,92,31,0,0.0,1.0,0.0,0.0,1.0,5.1991391170098415,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:17:48,95,32,0,0.0,1.0,0.0,0.0,1.0,5.219885070949919,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:18:17,95,32,0,0.0,1.0,0.0,0.0,1.0,5.22750262367335,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:18:31,94,30,0,0.0,1.0,0.0,0.0,1.0,5.23015164412992,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:19:06,96,32,0,0.0,1.0,0.0,0.0,1.0,5.188565037995343,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:19:34,95,32,0,0.0,1.0,0.0,0.0,1.0,5.099326047638738,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:20:09,85,32,0,0.0,1.0,0.0,0.0,1.0,4.970028767386003,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:20:45,89,32,0,0.0,1.0,0.0,0.0,1.0,4.817786947084903,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:21:04,91,31,0,0.0,1.0,0.0,0.0,1.0,4.740129615863101,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:21:32,92,32,0,0.0,1.0,0.0,0.0,1.0,4.639537550753813,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:22:27,93,32,0,0.0,1.0,0.0,0.0,1.0,4.448479351662965,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:22:30,93,31,0,0.0,1.0,0.0,0.0,1.0,4.441272306082945,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:23:11,93,32,0,0.0,1.0,0.0,0.0,1.0,4.3031835177397015,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:23:32,93,32,0,0.0,1.0,0.0,0.0,1.0,4.227830900857876,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:24:19,95,31,0,0.0,1.0,0.0,0.0,1.0,4.059490752178924,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:24:55,97,31,0,0.0,1.0,0.0,0.0,1.0,3.9597826168463737,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:25:02,97,31,0,0.0,1.0,0.0,0.0,1.0,3.9580483862608866,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:25:36,96,30,0,0.0,1.0,0.0,0.0,1.0,3.9494678193436017,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:26:15,95,31,0,0.0,1.0,0.0,0.0,1.0,3.921725104171277,31.11111111111111,20.0,52,10,29.76
