hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
59,36,0,1.0,0.0,0.0,1.0,0.0,4.586482559665504
94,31,0,0.0,0.0,1.0,0.0,1.0,2.5581952948983555
95,31,0,0.0,1.0,0.0,0.0,1.0,3.921725104171277
81,34,0,0.0,1.0,0.0,0.0,1.0,2.388848045809905
33,42,1,1.0,0.0,0.0,1.0,0.0,2.784837056630203
59,35,0,1.0,0.0,0.0,1.0,0.0,3.0900945955338592
99,31,0,0.0,0.0,1.0,0.0,1.0,4.217345359676183
72,32,0,0.0,1.0,0.0,0.0,1.0,2.283550234981145
76,37,0,1.0,0.0,0.0,1.0,0.0,4.559702157913956
44,32,0,0.0,1.0,0.0,0.0,1.0,2.5367010071715947
71,31,0,0.0,1.0,0.0,0.0,1.0,5.032228824856301
82,33,0,0.0,0.0,1.0,0.0,1.0,3.5250289016342022
92,31,0,0.0,1.0,0.0,0.0,1.0,3.4139334468178806
98,30,0,0.0,0.0,1.0,0.0,1.0,2.391799249254144
89,31,0,0.0,1.0,0.0,0.0,1.0,3.604837920339815
74,31,0,0.0,1.0,0.0,0.0,1.0,2.5277621855233847
48,31,0,0.0,1.0,0.0,0.0,1.0,4.548814629356957
71,30,0,0.0,1.0,0.0,0.0,1.0,2.9149847732574594
71,31,0,0.0,1.0,0.0,0.0,1.0,4.267912364442991
65,31,0,0.0,0.0,1.0,0.0,1.0,2.553483471797603
83,34,0,0.0,0.0,1.0,1.0,0.0,2.7335692022417937
84,32,0,0.0,0.0,1.0,0.0,1.0,2.5552392066380567
91,31,0,0.0,1.0,0.0,0.0,1.0,2.5493951299685293
96,29,0,0.0,0.0,1.0,0.0,1.0,2.6437709436614947
99,29,0,0.0,0.0,1.0,0.0,1.0,4.411198360367487
99,29,0,0.0,0.0,1.0,0.0,1.0,3.9873527054077114
48,31,0,0.0,1.0,0.0,0.0,1.0,5.0371849972397635
63,39,1,1.0,0.0,0.0,1.0,0.0,2.1991993637192873
62,32,0,0.0,1.0,0.0,0.0,1.0,2.7377763197530784
66,32,0,0.0,1.0,0.0,0.0,1.0,2.3874243745569608
57,37,0,1.0,0.0,0.0,1.0,0.0,2.9892484741681735
71,31,0,0.0,1.0,0.0,0.0,1.0,4.031602377314962
79,31,0,0.0,0.0,1.0,0.0,1.0,2.476635075465706
84,32,0,0.0,1.0,0.0,0.0,1.0,4.8416758116936895
76,31,0,0.0,1.0,0.0,0.0,1.0,2.225210770961518
66,36,0,1.0,0.0,0.0,1.0,0.0,5.160767791378205
85,33,0,0.0,1.0,0.0,0.0,1.0,4.442981257500196
57,42,1,1.0,0.0,0.0,1.0,0.0,4.387215296178118
79,31,0,0.0,0.0,1.0,0.0,1.0,2.2577466105287574
68,32,0,0.0,1.0,0.0,0.0,1.0,2.8289630258325573
85,32,0,0.0,1.0,0.0,0.0,1.0,2.2989805767657234
48,31,0,0.0,1.0,0.0,0.0,1.0,4.799462426372144
91,32,0,0.0,1.0,0.0,0.0,1.0,4.2695231290007785
33,40,1,0.0,0.0,1.0,1.0,0.0,2.1927667289685058
78,30,0,0.0,0.0,1.0,0.0,1.0,4.775004671931664
53,31,0,0.0,1.0,0.0,0.0,1.0,2.6812521771911966
51,42,1,1.0,0.0,0.0,1.0,0.0,3.7020350191968574
76,39,0,1.0,0.0,0.0,1.0,0.0,5.220077524747795
78,32,0,0.0,1.0,0.0,0.0,1.0,2.682861992292904
77,31,0,0.0,1.0,0.0,0.0,1.0,5.229235374559827
88,32,0,0.0,0.0,1.0,0.0,1.0,2.4672680777717897
76,31,0,0.0,1.0,0.0,0.0,1.0,2.228571792149089
79,31,0,0.0,1.0,0.0,0.0,1.0,4.6216224631861325
64,32,0,0.0,0.0,1.0,0.0,1.0,2.554044077928032
77,40,0,1.0,0.0,0.0,1.0,0.0,3.732082613914635
85,30,0,0.0,0.0,1.0,0.0,1.0,2.198061922218875
56,40,0,1.0,0.0,0.0,1.0,0.0,5.027048811237192
67,32,0,0.0,0.0,1.0,0.0,1.0,2.555907387247203
81,33,0,0.0,1.0,0.0,0.0,1.0,2.987237407522012
71,31,0,0.0,1.0,0.0,0.0,1.0,4.56010565927826
88,31,0,0.0,0.0,1.0,0.0,1.0,4.49296146312235
77,31,0,0.0,1.0,0.0,0.0,1.0,2.376533501134314
51,31,0,0.0,1.0,0.0,0.0,1.0,3.145719954125785
83,29,0,0.0,0.0,1.0,0.0,1.0,2.8875856804391007
70,32,0,0.0,1.0,0.0,0.0,1.0,3.6028226289043155
73,33,0,0.0,1.0,0.0,0.0,1.0,3.651442672360105
72,31,0,0.0,1.0,0.0,0.0,1.0,4.664251014868871
72,31,0,0.0,1.0,0.0,0.0,1.0,3.613265384266583
95,32,0,0.0,1.0,0.0,0.0,1.0,3.1200040944794667
84,33,0,0.0,1.0,0.0,0.0,1.0,2.2284744447044904
70,30,0,0.0,0.0,1.0,0.0,1.0,3.2153883045717966
73,34,0,1.0,0.0,0.0,1.0,0.0,2.2465597875395327
85,33,0,0.0,1.0,0.0,0.0,1.0,4.840147250728335
71,30,0,0.0,1.0,0.0,0.0,1.0,4.692293319488964
99,28,0,0.0,0.0,1.0,0.0,1.0,2.6588260276410387
93,31,0,0.0,1.0,0.0,0.0,1.0,2.9080072724575334
55,40,1,1.0,0.0,0.0,1.0,0.0,4.420589109371483
74,31,0,0.0,1.0,0.0,0.0,1.0,2.625560701844869
83,29,0,0.0,0.0,1.0,0.0,1.0,2.6681706872036357
85,34,0,1.0,0.0,0.0,1.0,0.0,4.571108687667669
72,41,0,1.0,0.0,0.0,1.0,0.0,3.965214072798144
53,31,0,0.0,1.0,0.0,0.0,1.0,2.2556042941455963
78,34,0,0.0,1.0,0.0,0.0,1.0,2.2836180134177635
74,30,0,0.0,1.0,0.0,0.0,1.0,4.988233554632179
63,32,0,0.0,1.0,0.0,0.0,1.0,2.237641109840452
49,42,1,1.0,0.0,0.0,1.0,0.0,3.8986327138414665
71,35,0,1.0,0.0,0.0,1.0,0.0,2.4159843565216725
83,30,0,0.0,0.0,1.0,0.0,1.0,4.806184248615763
77,31,0,0.0,1.0,0.0,0.0,1.0,2.9580338556400103
87,35,0,0.0,0.0,1.0,1.0,0.0,2.2396970282609407
86,30,0,0.0,1.0,0.0,0.0,1.0,4.811665216048472
49,31,0,0.0,1.0,0.0,0.0,1.0,4.814377527514812
89,30,0,0.0,0.0,1.0,0.0,1.0,3.4791855849434445
66,32,0,0.0,0.0,1.0,0.0,1.0,2.55584084688187
57,38,0,1.0,0.0,0.0,1.0,0.0,4.812783602858414
69,43,1,1.0,0.0,0.0,1.0,0.0,3.2689544057200357
58,37,0,1.0,0.0,0.0,1.0,0.0,4.36577960300135
89,32,0,0.0,1.0,0.0,0.0,1.0,3.565697094431717
97,28,0,0.0,0.0,1.0,0.0,1.0,3.0455401867930862
87,31,0,0.0,1.0,0.0,0.0,1.0,4.7906690098459785
74,31,0,0.0,0.0,1.0,0.0,1.0,2.2835256063611205
98,29,0,0.0,0.0,1.0,0.0,1.0,3.0348407869661336
76,31,0,0.0,1.0,0.0,0.0,1.0,4.229706745829442
