greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2,3,4,3,2,2,4,2,67.0,34,24.0,0.0,0.0,0.0,1.0,0.0,1.0,5.56180640978047,28.88888888888889,25.0,79,3,29.79
2,2,1,1,5,5,1,5,59.0,35,5.0,0.0,0.0,1.0,0.0,0.0,1.0,7.147296663196176,30.0,25.0,74,8,29.64
4,5,3,3,4,5,2,4,73.0,31,17.0,0.0,0.0,0.0,1.0,0.0,1.0,6.8656153828817805,27.77777777777778,26.11111111111111,89,1,29.73
4,4,2,2,5,5,2,5,69.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.571181973186025,30.0,25.0,74,0,29.73
3,4,3,3,5,5,2,4,82.0,29,31.0,0.0,0.0,1.0,0.0,0.0,1.0,6.846538400442268,28.88888888888889,26.11111111111111,84,10,29.67
5,5,5,4,5,3,2,2,52.0,36,77.0,0.0,0.0,0.0,1.0,0.0,1.0,6.479292747506862,28.88888888888889,25.0,79,2,29.7
4,4,1,1,3,3,1,4,53.0,36,257.0,1.0,0.0,0.0,0.0,1.0,0.0,7.277519521944598,32.22222222222222,22.22222222222222,55,3,29.67
4,5,2,2,5,5,4,2,53.0,35,66.0,0.0,0.0,0.0,1.0,0.0,1.0,7.18265702158009,26.11111111111111,26.11111111111111,100,3,29.76
4,5,4,3,4,3,3,3,73.0,32,15.0,0.0,0.0,0.0,1.0,0.0,1.0,5.569706944242685,28.88888888888889,26.11111111111111,84,8,29.79
1,1,4,4,1,1,5,1,63.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.553056288772904,27.77777777777778,27.22222222222222,94,2,29.73
3,3,4,4,4,2,2,4,63.0,34,614.0,0.0,0.0,1.0,0.0,0.0,1.0,7.048320595099042,31.11111111111111,23.88888888888889,66,6,29.61
2,2,5,5,1,1,1,1,88.0,28,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565722894430606,28.88888888888889,26.11111111111111,84,0,29.73
3,5,3,4,5,3,4,4,65.0,32,11.0,0.0,0.0,0.0,1.0,0.0,1.0,7.853720796958079,27.77777777777778,25.0,84,2,29.7
2,3,3,2,3,2,4,2,59.0,35,21.0,0.0,0.0,0.0,1.0,0.0,1.0,8.333827916409714,31.11111111111111,25.0,70,14,29.76
4,2,4,4,2,2,4,2,65.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.547938201782941,30.0,25.0,74,9,29.67
2,2,4,4,3,2,2,3,68.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.2389288226766775,32.22222222222222,25.0,66,6,29.73
2,2,2,2,4,3,3,4,78.0,30,3.0,1.0,0.0,0.0,0.0,1.0,0.0,8.248496030706109,33.888888888888886,25.0,59,6,29.7
1,1,2,2,3,3,2,3,51.0,36,596.0,0.0,0.0,1.0,0.0,0.0,1.0,8.376296964696806,30.0,25.0,74,3,29.64
2,2,3,3,2,1,4,2,79.0,31,6.0,0.0,0.0,0.0,1.0,1.0,0.0,5.643426733089695,32.77777777777778,23.88888888888889,59,6,29.73
3,3,3,3,2,1,4,2,67.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.4246916304081845,30.0,25.0,74,10,29.64
4,4,3,3,5,5,2,4,74.0,30,34.0,0.0,0.0,0.0,1.0,0.0,1.0,6.485184174832566,27.77777777777778,26.11111111111111,89,1,29.73
2,2,4,4,2,2,3,2,63.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.8350110521422645,30.0,25.0,74,0,29.73
3,3,2,2,3,3,2,3,65.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.4227550540211675,31.11111111111111,25.0,70,12,29.61
2,2,4,4,2,2,4,3,75.0,32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.166176151025662,32.22222222222222,23.88888888888889,62,6,29.64
2,2,3,3,3,3,3,3,69.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.640383398846991,30.0,25.0,74,0,29.73
3,3,3,2,4,4,2,4,71.0,32,17.0,0.0,0.0,1.0,0.0,0.0,1.0,5.542771333696848,30.0,25.0,74,9,29.67
3,3,3,4,3,3,3,3,62.0,35,148.0,0.0,0.0,1.0,0.0,0.0,1.0,5.541520991687388,31.11111111111111,25.0,70,10,29.67
1,4,2,1,5,5,2,4,73.0,31,71.0,0.0,0.0,0.0,1.0,0.0,1.0,7.151530872455061,27.77777777777778,25.0,84,6,29.73
2,2,4,4,2,1,3,2,58.0,34,431.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,31.11111111111111,25.0,70,2,29.61
2,2,3,3,2,2,3,2,62.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.420915291993301,31.11111111111111,23.88888888888889,66,9,29.67
2,2,2,2,1,1,3,1,56.0,36,59.0,1.0,0.0,0.0,0.0,1.0,0.0,8.277394635834794,32.22222222222222,25.0,66,8,29.64
2,2,2,2,2,2,1,2,56.0,35,601.0,1.0,0.0,0.0,0.0,1.0,0.0,6.421921126183198,32.22222222222222,23.88888888888889,62,6,29.67
3,3,3,4,3,3,3,3,49.0,37,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.310848181002816,27.77777777777778,26.11111111111111,89,5,29.73
1,2,5,5,2,1,5,1,70.0,31,21.0,0.0,0.0,0.0,1.0,0.0,1.0,7.044258644803701,28.88888888888889,25.0,79,8,29.7
4,2,5,4,3,2,2,2,87.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.069051497141363,28.88888888888889,26.11111111111111,84,0,29.73
3,3,3,3,3,3,3,3,64.0,34,5.0,0.0,0.0,0.0,1.0,0.0,1.0,6.456066599913491,30.0,26.11111111111111,79,0,29.73
3,3,3,2,4,3,3,3,85.0,29,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.814369445451418,28.88888888888889,26.11111111111111,84,0,29.73
3,3,2,2,3,3,1,3,59.0,35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.755975982359269,32.22222222222222,25.0,66,7,29.67
4,3,2,1,5,4,2,4,63.0,33,31.0,0.0,0.0,0.0,1.0,1.0,0.0,6.419667054709031,30.0,25.0,74,9,29.7
2,3,3,4,4,4,3,3,81.0,31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.110731056021344,30.0,25.0,74,1,29.73
3,3,3,3,4,3,2,3,75.0,31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,28.88888888888889,26.11111111111111,84,1,29.73
3,2,4,4,2,1,3,3,61.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,32.77777777777778,23.88888888888889,59,6,29.73
3,3,2,2,3,3,3,2,61.0,34,6.0,1.0,0.0,0.0,0.0,1.0,0.0,7.147753587375329,32.22222222222222,22.77777777777778,59,5,29.64
4,3,5,4,3,2,2,2,89.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,28.88888888888889,26.11111111111111,84,0,29.73
4,4,3,3,2,2,2,2,58.0,34,431.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,31.11111111111111,25.0,70,2,29.61
2,3,3,4,1,2,3,3,70.0,32,70.0,0.0,0.0,0.0,1.0,1.0,0.0,6.653193006271697,32.22222222222222,25.0,66,8,29.7
2,1,1,1,4,5,1,5,59.0,35,52.0,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434,32.22222222222222,25.0,66,7,29.67
3,5,1,1,3,4,1,4,56.0,36,76.0,1.0,0.0,0.0,0.0,1.0,0.0,7.033333390213529,32.77777777777778,25.0,63,10,29.67
3,3,4,3,3,3,2,3,67.0,33,16.0,0.0,0.0,0.0,1.0,0.0,1.0,6.434413319912999,28.88888888888889,25.0,79,3,29.79
4,4,2,2,4,4,2,4,56.0,36,59.0,1.0,0.0,0.0,0.0,1.0,0.0,8.277394635834794,32.22222222222222,25.0,66,8,29.64
4,4,3,2,4,4,2,4,73.0,32,20.0,1.0,0.0,0.0,0.0,1.0,0.0,5.540123215784444,27.77777777777778,25.0,84,12,29.73
1,4,2,2,3,3,2,3,54.0,36,773.0,0.0,0.0,1.0,0.0,0.0,1.0,7.1546814231299285,30.0,25.0,74,3,29.64
4,3,3,3,3,3,1,3,79.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.9197071907894525,31.11111111111111,25.0,70,12,29.64
2,4,2,2,5,5,2,4,72.0,32,8.0,0.0,0.0,0.0,1.0,0.0,1.0,8.28538907691356,28.88888888888889,26.11111111111111,84,12,29.64
5,3,3,2,5,5,2,5,72.0,30,20.0,0.0,0.0,1.0,0.0,0.0,1.0,5.673724119426637,31.11111111111111,22.77777777777778,62,9,29.61
1,1,5,5,2,3,3,2,75.0,32,26.0,0.0,0.0,0.0,1.0,0.0,1.0,6.8350110521422645,28.88888888888889,26.11111111111111,84,1,29.73
2,2,3,3,3,3,3,3,73.0,31,16.0,0.0,0.0,0.0,1.0,0.0,1.0,6.994570343494448,30.0,26.11111111111111,79,5,29.76
4,4,3,4,5,5,5,2,55.0,36,104.0,0.0,0.0,0.0,1.0,0.0,1.0,6.845673931759638,26.11111111111111,26.11111111111111,100,3,29.76
4,3,3,2,5,5,2,5,73.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.67611546887863,28.88888888888889,26.11111111111111,84,8,29.79
3,3,2,1,4,4,2,4,70.0,32,54.0,1.0,0.0,0.0,0.0,1.0,0.0,7.149654829953349,28.88888888888889,25.0,79,13,29.73
2,2,4,4,2,2,2,2,89.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.290502987116332,30.0,26.11111111111111,79,6,29.73
