timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2020-02-28 08:39:59,69,29,0,0.0,0.0,1.0,0.0,1.0,3.9991317298604585
2020-02-28 08:40:08,70,29,0,0.0,0.0,1.0,0.0,1.0,3.9712221640052086
2020-02-28 08:40:40,71,30,0,0.0,0.0,1.0,0.0,1.0,3.933442592169568
2020-02-28 08:41:13,70,29,0,0.0,0.0,1.0,0.0,1.0,3.8692093101550626
2020-02-28 08:41:44,70,28,0,0.0,0.0,1.0,0.0,1.0,3.8663467055856313
2020-02-28 08:42:10,71,30,0,0.0,0.0,1.0,0.0,1.0,3.865587942512244
2020-02-28 08:42:40,70,28,0,0.0,0.0,1.0,0.0,1.0,3.8582912629278705
2020-02-28 08:43:25,71,29,0,0.0,0.0,1.0,0.0,1.0,3.731698011249255
2020-02-28 08:43:34,71,29,0,0.0,0.0,1.0,0.0,1.0,3.7061250891823345
2020-02-28 08:44:06,71,29,0,0.0,0.0,1.0,0.0,1.0,3.6312651642381124
2020-02-28 08:44:37,70,29,0,0.0,0.0,1.0,0.0,1.0,3.5380075059949303
2020-02-28 08:45:00,70,30,0,0.0,0.0,1.0,0.0,1.0,3.47126471626948
2020-02-28 08:45:46,72,30,0,0.0,0.0,1.0,0.0,1.0,3.4070691150123285
2020-02-28 08:46:14,70,30,0,0.0,0.0,1.0,0.0,1.0,3.3417571111577486
2020-02-28 08:46:58,70,30,0,0.0,0.0,1.0,0.0,1.0,3.2205736572707795
2020-02-28 08:47:01,70,30,0,0.0,0.0,1.0,0.0,1.0,3.2153883045717966
2020-02-28 08:47:59,69,30,0,0.0,0.0,1.0,0.0,1.0,3.054513787301262
2020-02-28 08:48:06,68,29,0,0.0,0.0,1.0,0.0,1.0,3.0341751636547043
2020-02-28 08:48:54,69,29,0,0.0,0.0,1.0,0.0,1.0,2.929574982406291
2020-02-28 08:49:19,68,28,0,0.0,0.0,1.0,0.0,1.0,2.872209700886645
2020-02-28 08:49:43,70,29,0,0.0,0.0,1.0,0.0,1.0,2.8307813770620975
2020-02-28 08:50:25,70,29,0,0.0,0.0,1.0,0.0,1.0,2.826877082595836
2020-02-28 08:50:32,71,31,0,0.0,0.0,1.0,0.0,1.0,2.8263582449980413
2020-02-28 08:51:13,70,29,0,0.0,0.0,1.0,0.0,1.0,2.824931967888676
2020-02-28 08:51:39,71,30,0,0.0,0.0,1.0,0.0,1.0,2.825286518653274
2020-02-28 08:52:11,79,29,0,0.0,0.0,1.0,0.0,1.0,2.767207588853306
2020-02-28 08:52:43,76,31,0,0.0,0.0,1.0,0.0,1.0,2.7496137737277646
2020-02-28 08:53:14,86,31,0,0.0,0.0,1.0,0.0,1.0,2.681285032095802
2020-02-28 08:53:39,82,31,0,0.0,0.0,1.0,0.0,1.0,2.625122363256914
2020-02-28 08:54:10,83,32,0,0.0,0.0,1.0,0.0,1.0,2.5599309274777315
2020-02-28 08:54:51,79,31,0,0.0,0.0,1.0,0.0,1.0,2.476635075465706
2020-02-28 08:55:19,77,32,0,0.0,0.0,1.0,0.0,1.0,2.4220780420408388
2020-02-28 08:55:56,73,30,0,0.0,0.0,1.0,0.0,1.0,2.3547539568728175
