hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
64.0,34,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.847477450449488,30.0,25.0,74,2,29.76
60.0,34,11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.060703024231403,32.22222222222222,25.0,66,7,29.67
76.0,30,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.357473653865254,27.77777777777778,25.0,84,3,29.7
59.0,34,41,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.42420545930479,31.11111111111111,25.0,70,1,29.73
66.0,33,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.611751855945842,28.88888888888889,23.88888888888889,74,6,29.79
65.0,33,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.392237836130256,32.22222222222222,26.11111111111111,70,2,29.76
59.0,35,92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.562292872537918,32.77777777777778,25.0,63,9,29.67
66.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.8497705594154255,28.88888888888889,25.0,79,9,29.67
68.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.592618601048126,31.11111111111111,25.0,70,12,29.64
60.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.476326638775102,31.11111111111111,23.88888888888889,66,7,29.61
60.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.6647740637350985,32.22222222222222,25.0,66,14,29.55
80.0,29,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.224956345556255,27.77777777777778,26.11111111111111,89,1,29.73
64.0,32,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0791304662977055,31.11111111111111,22.77777777777778,62,6,29.67
68.0,33,26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.417315831022963,28.88888888888889,25.0,79,3,29.79
50.0,37,25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6553319341085935,32.22222222222222,23.88888888888889,62,5,29.73
64.0,32,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.228200143284749,27.22222222222222,23.88888888888889,84,5,29.7
53.0,36,17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.441082825145923,31.11111111111111,22.77777777777778,62,5,29.76
36.0,43,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.230856179483844,27.77777777777778,25.0,84,2,29.7
72.0,31,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.967432935475888,27.77777777777778,26.11111111111111,89,5,29.7
77.0,30,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.720622733981795,26.11111111111111,26.11111111111111,100,1,29.7
67.0,33,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.663469015764956,30.0,26.11111111111111,79,0,29.73
67.0,32,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.584880308441986,27.77777777777778,25.0,84,2,29.7
70.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.865389162464468,31.11111111111111,26.11111111111111,75,2,29.73
60.0,34,32,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.755537864512695,31.11111111111111,25.0,70,1,29.73
57.0,35,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.831578240914374,32.22222222222222,25.0,66,6,29.7
73.0,32,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.472101639982384,28.88888888888889,26.11111111111111,84,12,29.64
66.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.626385650822291,30.0,25.0,74,9,29.67
58.0,34,536,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.900340855693482,31.11111111111111,23.88888888888889,66,6,29.61
55.0,36,60,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33072355471792,32.22222222222222,25.0,66,8,29.64
55.0,36,58,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.744040388447147,32.22222222222222,26.11111111111111,70,9,29.67
53.0,36,27,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.145072137204256,31.11111111111111,22.77777777777778,62,5,29.76
64.0,32,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.153620053844903,27.77777777777778,25.0,84,2,29.7
72.0,32,54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.789842565459073,30.0,26.11111111111111,79,1,29.73
71.0,32,983,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.026154537320497,27.77777777777778,25.0,84,1,29.73
75.0,30,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.66131385122328,27.77777777777778,26.11111111111111,89,1,29.73
77.0,31,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.473252663754817,30.0,27.22222222222222,84,1,29.73
73.0,31,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.138963205736284,27.77777777777778,26.11111111111111,89,5,29.7
74.0,30,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.912317027055185,27.77777777777778,26.11111111111111,89,1,29.73
73.0,31,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.130392579482849,28.88888888888889,26.11111111111111,84,5,29.76
61.0,33,100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.421628958622335,30.0,25.0,74,1,29.76
73.0,31,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.130623916051787,27.22222222222222,26.11111111111111,94,2,29.7
63.0,33,23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.374671593035465,32.22222222222222,25.0,66,14,29.55
63.0,34,177,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.480196892271919,31.11111111111111,26.11111111111111,75,10,29.7
74.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.019604922957432,27.22222222222222,25.0,89,2,29.7
69.0,30,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.546636969339346,32.22222222222222,25.0,66,3,29.64
64.0,32,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.202154449617678,30.0,25.0,74,5,29.7
67.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.25523565682391,32.22222222222222,23.88888888888889,62,6,29.64
61.0,34,126,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.590356732087268,31.11111111111111,26.11111111111111,75,10,29.7
70.0,31,38,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.47820778156588,27.77777777777778,25.0,84,6,29.73
68.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.739296093291595,31.11111111111111,25.0,70,12,29.64
29.0,30,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.686635075919295,26.11111111111111,23.88888888888889,89,3,29.7
67.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.040646437149918,30.0,23.88888888888889,70,6,29.7
62.0,33,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.340462596755309,28.88888888888889,25.0,79,2,29.7
76.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.416061879641684,28.88888888888889,26.11111111111111,84,6,29.73
61.0,34,25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.086575928357219,31.11111111111111,25.0,70,7,29.7
57.0,36,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.5235289209177365,31.11111111111111,25.0,70,10,29.67
83.0,29,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.331163196410329,27.22222222222222,26.11111111111111,94,7,29.67
70.0,32,984,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0256645795120685,27.77777777777778,25.0,84,1,29.73
71.0,32,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.409194076724439,30.0,25.0,74,8,29.64
53.0,37,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.532290777755724,32.77777777777778,25.0,63,9,29.67
68.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.8524319786739,31.11111111111111,25.0,70,12,29.64
62.0,33,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.630480109475994,28.88888888888889,25.0,79,2,29.7
78.0,31,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.304533198789742,27.77777777777778,26.11111111111111,89,5,29.7
60.0,34,194,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.989311345364713,31.11111111111111,25.0,70,7,29.7
64.0,35,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.209441818739276,30.0,26.11111111111111,79,2,29.73
60.0,34,631,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.310330016090865,30.0,25.0,74,3,29.64
74.0,32,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.956541959985291,30.0,26.11111111111111,79,3,29.73
58.0,35,557,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.526252492438127,31.11111111111111,25.0,70,2,29.61
59.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.580430170589278,31.11111111111111,22.77777777777778,62,7,29.64
54.0,35,130,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.09862008086367,31.11111111111111,23.88888888888889,66,2,29.73
65.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.286104906810397,28.88888888888889,25.0,79,10,29.67
72.0,31,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0294155349758425,28.88888888888889,26.11111111111111,84,6,29.67
50.0,40,59,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.35375992770208,32.77777777777778,25.0,63,8,29.61
63.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.837726849099098,31.11111111111111,23.88888888888889,66,8,29.64
56.0,34,82,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.316617864544758,31.11111111111111,25.0,70,1,29.73
75.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.42569767661428,28.88888888888889,26.11111111111111,84,2,29.73
71.0,31,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.6932754969472406,28.88888888888889,25.0,79,7,29.7
67.0,31,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.501663034585526,31.11111111111111,23.88888888888889,66,10,29.67
66.0,34,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.66718225515115,30.0,26.11111111111111,79,13,29.61
66.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.127547422936907,28.88888888888889,25.0,79,10,29.67
65.0,32,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.201673849870941,30.0,25.0,74,5,29.7
85.0,29,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.843483869486077,27.22222222222222,26.11111111111111,94,7,29.67
63.0,34,26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.240592553414411,30.0,26.11111111111111,79,6,29.76
67.0,34,45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.531359440508228,30.0,26.11111111111111,79,10,29.76
72.0,32,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.312362509305742,28.88888888888889,25.0,79,8,29.79
71.0,32,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.568893884919615,28.88888888888889,26.11111111111111,84,8,29.79
65.0,33,54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.804990457492853,31.11111111111111,25.0,70,2,29.76
76.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.465611243199026,28.88888888888889,26.11111111111111,84,6,29.73
83.0,29,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.724006176387098,27.22222222222222,26.11111111111111,94,2,29.76
70.0,31,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.547921826162046,32.22222222222222,25.0,66,3,29.64
68.0,31,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.651506263827452,27.77777777777778,25.0,84,2,29.7
53.0,36,84,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.121931503116382,31.11111111111111,22.77777777777778,62,5,29.76
57.0,26,20,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.886764160221942,27.77777777777778,22.22222222222222,70,12,29.73
55.0,36,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.426440454361725,32.22222222222222,23.88888888888889,62,5,29.76
74.0,31,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.116690647554168,27.22222222222222,26.11111111111111,94,2,29.7
60.0,34,9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.227508608178325,32.22222222222222,25.0,66,7,29.67
59.0,34,540,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.883318329447151,31.11111111111111,23.88888888888889,66,6,29.61
54.0,37,128,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.8860572576485435,32.77777777777778,25.0,63,9,29.67
58.0,26,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.883762921208124,27.77777777777778,22.22222222222222,70,12,29.73
74.0,31,33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.141919269114367,28.88888888888889,25.0,79,13,29.73
65.0,33,62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.592501604797013,32.22222222222222,26.11111111111111,70,2,29.76
63.0,33,89,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.009995471672479,31.11111111111111,25.0,70,2,29.76
58.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.521844258450978,31.11111111111111,25.0,70,10,29.67
58.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.330687146117665,31.11111111111111,25.0,70,10,29.67
62.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.426273426953732,27.77777777777778,22.77777777777778,74,10,29.67
74.0,31,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.018999108724644,27.22222222222222,25.0,89,2,29.7
68.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.608396117344934,31.11111111111111,25.0,70,12,29.64
73.0,32,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.571061380190502,27.77777777777778,26.11111111111111,89,5,29.7
69.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.9634260451140895,31.11111111111111,25.0,70,12,29.64
65.0,32,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.648397767667589,31.11111111111111,23.88888888888889,66,6,29.67
73.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.019998405619452,27.22222222222222,25.0,89,2,29.7
