o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0.0,64.0,132.0,4.0,22.0,0,8.0,184.97810218978103,3
0,0.0,52.0,116.0,4.0,19.0,0,9.0,176.8029197080292,3
0,0.0,52.0,116.0,4.0,19.0,0,9.0,176.8029197080292,3
0,0.0,52.0,116.0,4.0,19.0,0,9.0,176.8029197080292,3
0,0.0,54.0,112.0,5.0,23.0,0,8.0,174.75912408759123,3
0,0.0,54.0,116.0,4.0,19.0,0,8.0,176.8029197080292,3
0,0.0,58.0,120.0,6.0,24.0,0,8.0,178.84671532846716,3
0,0.0,54.0,116.0,4.0,17.0,0,8.0,176.8029197080292,3
0,0.0,50.0,108.0,5.0,25.0,0,8.0,172.71532846715328,3
0,0.0,54.0,112.0,5.0,23.0,0,8.0,174.75912408759123,3
0,0.0,54.0,116.0,5.0,25.0,0,9.0,176.8029197080292,3
0,0.0,58.0,124.0,6.0,26.0,0,8.0,180.8905109489051,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,68.0,140.0,3.0,18.0,0,8.0,189.06569343065692,3
0,0.0,68.0,140.0,3.0,19.0,0,8.0,189.06569343065692,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,58.0,120.0,3.0,20.0,0,8.0,178.84671532846716,3
0,0.0,54.0,116.0,2.0,18.0,0,8.0,176.8029197080292,3
0,0.0,60.0,124.0,2.0,15.0,0,8.0,180.8905109489051,3
0,0.0,56.0,120.0,2.0,10.0,0,9.0,178.84671532846716,3
0,0.0,54.0,116.0,2.0,11.0,0,8.0,176.8029197080292,3
0,0.0,60.0,128.0,2.0,13.0,0,9.0,182.93430656934305,3
0,0.0,52.0,108.0,2.0,15.0,0,9.0,172.71532846715328,3
0,0.0,44.0,96.0,2.0,17.0,0,8.0,166.5839416058394,3
0,0.0,42.0,92.0,3.0,18.0,0,9.0,164.54014598540147,3
0,0.0,50.0,108.0,3.0,23.0,0,10.0,172.71532846715328,3
0,0.0,54.0,116.0,5.0,32.0,0,10.0,176.8029197080292,3
0,0.0,34.0,68.0,4.0,28.0,0,7.0,152.27737226277372,3
0,0.0,38.0,84.0,4.0,23.0,0,8.0,160.45255474452554,3
0,0.0,36.0,80.0,4.0,19.0,0,8.0,158.4087591240876,3
0,0.0,38.0,84.0,4.0,25.0,0,8.0,160.45255474452554,3
0,0.0,48.0,104.0,4.0,22.0,0,8.0,170.67153284671534,3
0,0.0,44.0,96.0,3.0,20.0,0,8.0,166.5839416058394,3
0,0.0,46.0,100.0,3.0,21.0,0,8.0,168.62773722627736,3
0,0.0,50.0,108.0,3.0,26.0,0,8.0,172.71532846715328,3
0,0.0,52.0,112.0,4.0,29.0,0,8.0,174.75912408759123,3
0,0.0,56.0,120.0,3.0,21.0,0,8.0,178.84671532846716,3
0,0.0,56.0,120.0,4.0,26.0,0,9.0,178.84671532846716,3
0,0.0,44.0,100.0,3.0,22.0,0,8.0,168.62773722627736,3
0,0.0,44.0,68.0,5.0,40.0,0,7.0,152.27737226277372,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
