greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
3,3,3,3,3,3,3,3,64.0,34,0.0,0.0,0.0,1.0,0.0,1.0,6.456066599913491,10,11,2,65.29776743271469
3,3,3,2,4,3,3,3,85.0,29,0.0,0.0,0.0,1.0,0.0,1.0,6.814369445451418,6,0,3,63.41415611420835
3,3,2,2,3,3,1,3,59.0,35,1.0,0.0,0.0,0.0,1.0,0.0,6.755975982359269,4,5,2,59.91150380702531
4,3,2,1,5,4,2,4,63.0,33,0.0,0.0,0.0,1.0,1.0,0.0,6.419667054709031,0,0,0,60.36078211018357
2,3,3,4,4,4,3,3,81.0,31,0.0,0.0,0.0,1.0,0.0,1.0,7.110731056021344,5,0,6,78.23785143085158
3,3,3,3,4,3,2,3,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,11,7,1,64.42221734726058
3,2,4,4,2,1,3,3,61.0,34,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,10,11,2,54.59090302109416
3,3,2,2,3,3,3,2,61.0,34,1.0,0.0,0.0,0.0,1.0,0.0,7.147753587375329,2,1,3,70.50059276831605
4,3,5,4,3,2,2,2,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,15,9,0,61.318798357617815
4,4,3,3,2,2,2,2,58.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,7,8,1,76.85134600103922
2,3,3,4,1,2,3,3,70.0,32,0.0,0.0,0.0,1.0,1.0,0.0,6.653193006271697,5,4,2,51.943176588811475
2,1,1,1,4,5,1,5,59.0,35,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434,1,1,2,71.6464238025663
3,5,1,1,3,4,1,4,56.0,36,1.0,0.0,0.0,0.0,1.0,0.0,7.033333390213529,0,0,0,67.76020955554354
3,3,4,3,3,3,2,3,67.0,33,0.0,0.0,0.0,1.0,0.0,1.0,6.434413319912999,4,1,0,73.44495699215287
4,4,2,2,4,4,2,4,56.0,36,1.0,0.0,0.0,0.0,1.0,0.0,8.277394635834794,1,1,2,66.06235546346961
4,4,3,2,4,4,2,4,73.0,32,1.0,0.0,0.0,0.0,1.0,0.0,5.540123215784444,1,0,0,76.70131592117794
1,4,2,2,3,3,2,3,54.0,36,0.0,0.0,1.0,0.0,0.0,1.0,7.1546814231299285,5,2,3,50.03117335679345
4,3,3,3,3,3,1,3,79.0,31,0.0,0.0,1.0,0.0,0.0,1.0,6.9197071907894525,12,8,2,66.96040284483294
2,4,2,2,5,5,2,4,72.0,32,0.0,0.0,0.0,1.0,0.0,1.0,8.28538907691356,1,1,0,73.10835400872433
5,3,3,2,5,5,2,5,72.0,30,0.0,0.0,1.0,0.0,0.0,1.0,5.673724119426637,2,0,0,66.62847303222648
1,1,5,5,2,3,3,2,75.0,32,0.0,0.0,0.0,1.0,0.0,1.0,6.8350110521422645,15,6,0,61.1855803976526
2,2,3,3,3,3,3,3,73.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.994570343494448,4,3,2,72.58510429038485
4,4,3,4,5,5,5,2,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,6.845673931759638,2,1,2,57.90802164666413
4,3,3,2,5,5,2,5,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.67611546887863,0,0,0,63.123940090835525
3,3,2,1,4,4,2,4,70.0,32,1.0,0.0,0.0,0.0,1.0,0.0,7.149654829953349,0,0,0,76.05698220291973
