hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
63.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.374671593035465
63.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.480196892271919
74.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.019604922957432
69.0,30,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.546636969339346
64.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.202154449617678
67.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.25523565682391
61.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.590356732087268
70.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.47820778156588
68.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.739296093291595
29.0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.686635075919295
67.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.040646437149918
62.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.340462596755309
76.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.416061879641684
61.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.086575928357219
57.0,36,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.5235289209177365
83.0,29,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.331163196410329
70.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0256645795120685
71.0,32,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.409194076724439
53.0,37,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.532290777755724
68.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.8524319786739
62.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.630480109475994
78.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.304533198789742
60.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.989311345364713
64.0,35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.209441818739276
60.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.310330016090865
74.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.956541959985291
58.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.526252492438127
59.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.580430170589278
54.0,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.09862008086367
65.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.286104906810397
72.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0294155349758425
50.0,40,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.35375992770208
63.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.837726849099098
56.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.316617864544758
75.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.42569767661428
71.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.6932754969472406
67.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.501663034585526
66.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.66718225515115
66.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.127547422936907
65.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.201673849870941
85.0,29,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.843483869486077
63.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.240592553414411
67.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.531359440508228
72.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.312362509305742
71.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.568893884919615
65.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.804990457492853
76.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.465611243199026
83.0,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.724006176387098
70.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.547921826162046
68.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.651506263827452
53.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.121931503116382
57.0,26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.886764160221942
55.0,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.426440454361725
74.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.116690647554168
60.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.227508608178325
59.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.883318329447151
54.0,37,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.8860572576485435
58.0,26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.883762921208124
74.0,31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.141919269114367
65.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.592501604797013
63.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.009995471672479
58.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.521844258450978
