timestamp,image_folder_path,image,greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2020-02-28 16:49:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582883410.jpg,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,64.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.3967494788418207,9,6,0,68.45822336781995,31.11111111111111,17.77777777777778,46,15,29.73
2020-02-28 16:53:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582884005.jpg,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,61.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.3967494788418207,7,6,1,61.929697592754835,31.11111111111111,17.77777777777778,46,15,29.73
2020-02-28 17:04:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582884324.jpg,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,43.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,5,2,5,63.442533848332026,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:07:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582884453.jpg,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,42.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,8,6,2,69.64252293913694,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:09:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582884593.jpg,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,42.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,5,4,2,65.17787263054497,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:14:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582884894.jpg,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,46.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,11,6,0,80.6554942230308,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:15:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582884978.jpg,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,46.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,6,5,5,66.85865005725337,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:16:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582885075.jpg,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,47.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,8,6,0,86.41652488575836,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:23:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582885456.jpg,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,49.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,4.811684359158321,9,6,0,67.45777736197373,31.11111111111111,17.22222222222222,43,13,29.73
2020-02-28 17:35:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582886144.jpg,1.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,48.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,4.811684359158321,11,10,1,77.42065143946479,30.0,17.22222222222222,45,10,29.73
2020-02-28 17:40:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582886448.jpg,1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,48.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.973020338055584,8,6,0,76.63056680780778,30.0,17.22222222222222,45,10,29.73
2020-02-28 17:43:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582886641.jpg,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,50.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.973020338055584,12,9,0,86.80862764903436,30.0,17.22222222222222,45,10,29.73
2020-02-28 17:46:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582886834.jpg,1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,50.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.973020338055584,9,1,0,67.69604533540323,30.0,17.22222222222222,45,10,29.73
2020-02-28 17:52:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582887201.jpg,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,52.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.973020338055584,7,7,4,82.54024731740924,30.0,17.22222222222222,45,10,29.73
2020-02-28 17:59:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582887563.jpg,2.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,54.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.240871711588565,10,7,3,77.23243727208607,30.0,17.22222222222222,45,10,29.73
2020-02-29 09:06:00,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582942069.jpg,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,3.3680460040654734,6,4,2,75.42572667095128,28.88888888888889,18.88888888888889,55,6,29.85
